Key,en,es,ar
Dashboard,Dashboard,Panel,لوحة القيادة
Language,Language,Idioma,لغة
Information,Information,Información,معلومة
Language Information,Language Information,Información del idioma,معلومات اللغة
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة
Idioma creado correctamente,Idioma creado correctamente,Idioma Creado Correctamento,Idioma Creado الصحيح
Join us in shaping the future of technology,Join us in shaping the future of technology,Únase a nosotros para dar forma al futuro de la tecnología,انضم إلينا في تشكيل مستقبل التكنولوجيا
Enter your email:,Enter your email:,Introduce tu correo electrónico:,أدخل بريدك الإلكتروني:
DOWNLOAD APPS,DOWNLOAD APPS,Descargar aplicaciones,تنزيل التطبيقات
USEFULL LINKS,USEFULL LINKS,Enlaces útiles,روابط مفيدة
Privacy Policy,Privacy Policy,política de privacidad,سياسة الخصوصية
Terms & Condition,Terms & Condition,Términos y Condiciones,الشروط والشرط
Refund Policy,Refund Policy,Politica de reembolso,سياسة الاسترجاع
CONTACT US,CONTACT US,CONTÁCTENOS,اتصل بنا
Copyright ©2023. All Rights Reserved by,Copyright ©2023. All Rights Reserved by,Copyright © 2023. Todos los derechos reservados por,حقوق الطبع والنشر © 2023. جميع الحقوق محفوظة من قبل
Topbar Color,Topbar Color,Color topbar,لون الشريط
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي
Settings,Settings,Ajustes,إعدادات
English,English,Inglés,إنجليزي
API Key,API Key,Clave API,مفتاح API
Canceled Logs,Canceled Logs,Registros cancelados,سجلات ملغاة
All Logs,All Logs,Todos los registros,جميع السجلات
Subscriptions,Subscriptions,Suscripciones,الاشتراكات
TRANSACTIONS & LOGS,TRANSACTIONS & LOGS,Transacciones y registros,المعاملات والسجلات
Setup Currency,Setup Currency,Moneda de configuración,الإعداد العملة
Panel,Panel,Panel,لوحة
Transactions log,Transactions log,Registro de transacciones,سجل المعاملات
Pending Logs,Pending Logs,Registros pendientes,سجلات معلقة
Completed Logs,Completed Logs,Registros completados,سجلات مكتملة
INTERFACE PANEL,INTERFACE PANEL,Panel de interfaz,لوحة واجهة
User Care,User Care,Cuidado de los usuarios,رعاية المستخدم
Active Users,Active Users,Usuarios activos,المستخدمين النشطين
App Version,App Version,Version de aplicacion,نسخة التطبيق
Life is all about AI,Life is all about AI,La vida se trata de AI,الحياة هي كل شيء عن الذكاء الاصطناعي
Join us in shaping the future of,Join us in shaping the future of,Únase a nosotros para dar forma al futuro de,انضم إلينا في تشكيل مستقبل
TECHNOLOGY,TECHNOLOGY,TECNOLOGÍA,تكنولوجيا
Sign In,Sign In,Iniciar sesión,تسجيل الدخول
Sign Up,Sign Up,Inscribirse,اشتراك
Please input your username and password and login to your account to get access to your dashboard.,Please input your username and password and login to your account to get access to your dashboard.,Ingrese su nombre de usuario y contraseña e inicie sesión en su cuenta para obtener acceso a su tablero.,يرجى إدخال اسم المستخدم وكلمة المرور وتسجيل الدخول إلى حسابك للوصول إلى لوحة القيادة الخاصة بك.
Email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني
Sign In with,Sign In with,Inicia sesión con,تسجيل الدخول ب
Continue as a guest,Continue as a guest,Continuar como invitado,تواصل كضيف
EN,EN,Interno,en
or,or,o,أو
Hours 24,24 Hours,24 horas,24 ساعة
Please Enter Your Registered E-mail for Reset Password,Please Enter Your Registered E-mail for Reset Password,Ingrese su correo electrónico registrado para restablecer la contraseña,الرجاء إدخال بريدك الإلكتروني المسجل لإعادة تعيين كلمة المرور
Enter the OTP sent to,Enter the OTP sent to,Ingrese el OTP enviado a,أدخل OTP المرسلة إلى
Resend Code,Resend Code,Reenviar codigo,أعد إرسال الرمز
Submit,Submit,Entregar,يُقدِّم
Reset Password,Reset Password,Restablecer la contraseña,إعادة تعيين كلمة المرور
Reset your password to sign in again.,Reset your password to sign in again.,Restablezca su contraseña para iniciar sesión nuevamente.,أعد تعيين كلمة المرور الخاصة بك لتسجيل الدخول مرة أخرى.
Congratulations,Congratulations,Felicidades,تهانينا
"Your password has been reset Successfully, Sign in again now.","Your password has been reset Successfully, Sign in again now.","Su contraseña se ha restablecido correctamente, inicie sesión nuevamente ahora.",تمت إعادة تعيين كلمة المرور الخاصة بك بنجاح ، وقم بتسجيل الدخول مرة أخرى الآن.
Okay,Okay,Bueno,تمام
Please fill out the field,Please fill out the field,Por favor complete el campo,يرجى ملء الحقل
Your account has been create Successfully. Welcome to AdBot Pro.,Your account has been create Successfully. Welcome to AdBot Pro.,Su cuenta ha sido creada con éxito. Bienvenido a Adbot Pro.,تم إنشاء حسابك بنجاح. مرحبًا بك في Adbot Pro.
Chat With AdBot Pro.,Chat With AdBot Pro.,Chatear con Adbot Pro.,الدردشة مع Adbot Pro.
Chatting with AdBot Pro can be a fun and interactive way to explore language and learn new things.,Chatting with AdBot Pro can be a fun and interactive way to explore language and learn new things.,Chatear con Adbot Pro puede ser una forma divertida e interactiva de explorar el lenguaje y aprender cosas nuevas.,يمكن أن تكون الدردشة مع Adbot Pro طريقة ممتعة وتفاعلية لاستكشاف اللغة وتعلم أشياء جديدة.
Image generation in AI refers to the process of creating new images using artificial intelligence algorithms.,Image generation in AI refers to the process of creating new images using artificial intelligence algorithms.,La generación de imágenes en IA se refiere al proceso de crear nuevas imágenes utilizando algoritmos de inteligencia artificial.,يشير توليد الصور في الذكاء الاصطناعي إلى عملية إنشاء صور جديدة باستخدام خوارزميات الذكاء الاصطناعي.
Subscription Plan,Subscription Plan,Plan de suscripción,خطة الاشتراك
Free Subscription,Free Subscription,Suscripción gratuita,اشتراك مجاني
24 Hours Support,24 Hours Support,Soporte de 24 horas,24 ساعة دعم
No Ads,No Ads,Sin anuncios,لا اعلانات
Ads Free,Ads Free,Anuncios gratis,إعلانات مجانية
Your Subscription will be expired on,Your Subscription will be expired on,Su suscripción será expirada en,سيتم انتهاء صلاحية اشتراكك
Premium Subscription,Premium Subscription,Suscripción premium,اشتراك قسط
Billing Details,Billing Details,Detalles de facturación,تفاصيل الفاتورة
Select Payment Method,Select Payment Method,Seleccionar método de pago,اختار طريقة الدفع
Pay Now,Pay Now,Pagar ahora,ادفع الآن
Refresh,Refresh,Actualizar,ينعش
FOR Label,FOR,PARA,ل
days,days,días,أيام
Share Chat,Share Chat,Compartir chat,شارك الدردشة
Clear Conversation,Clear Conversation,Conversación clara,محادثة واضحة
Clear Recent,Clear Recent,Claro reciente,واضح الأخيرة
Search Images,Search Images,Búsqueda de imágenes,البحث عن الصور
Profile,Profile,Perfil,حساب تعريفي
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور
About Us,About Us,Sobre nosotros,معلومات عنا
Sign Out,Sign Out,Desconectar,خروج
Update Profile,Update Profile,Actualización del perfil,تحديث الملف
Old Password,Old Password,Contraseña anterior,كلمة المرور القديمة
Please Verify Your Email To Login,Please Verify Your Email To Login,Verifique su correo electrónico para iniciar sesión,يرجى التحقق من بريدك الإلكتروني لتسجيل الدخول
Please Verify Your SMS To Login,Please Verify Your SMS To Login,Verifique que su SMS inicie sesión,يرجى التحقق من الرسائل القصيرة لتسجيل الدخول
Please accept terms and condition,Please accept terms and condition,Acepte los términos y la condición,يرجى قبول الشروط والشرط
Remaining,Remaining,Restante,متبقي
Chat,Chat,Charlar,محادثة
Image,Image,Imagen,صورة
Stripe Payment,Stripe Payment,Pago de rayas,دفع الشريط
Card Number,Card Number,Número de tarjeta,رقم البطاقة
Full Name,Full Name,Nombre completo,الاسم الكامل
Manual Payment,Manual Payment,Pago manual,الدفع اليدوي
Card Holder,Card Holder,Titular de la tarjeta,حامل البطاقة
VALID THRU,VALID THRU,Válido,صالح من خلال
Write Something,Write Something,Escribe algo,أكتب شيئا
Search Something,Search Something,Buscar algo,ابحث عن شيء ما
No Expiration,No Expiration,Sin caducidad,لا انتهاء الصلاحية
With Ads,With Ads,Con anuncios,مع الإعلانات
Unlimited,Unlimited,Ilimitado,غير محدود
Current Plan,Current Plan,Plan actual,الخطة الحالية
You Are Already Using Free Package,You Are Already Using Free Package,Ya estás usando un paquete gratis,أنت تستخدم بالفعل حزمة مجانية
Do You Want To Delete Your Account ?,Do You Want To Delete Your Account ?,¿Quieres eliminar tu cuenta?,هل تريد حذف حسابك؟
"OH No!!, No Conversation yet","OH No!!, No Conversation yet",¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡Ivy ¿,أوه لا !! ، لا محادثة بعد
"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old.","Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old.","Contrariamente a la creencia popular, Lorem Ipsum no es simplemente un texto aleatorio. Tiene raíces en una pieza de literatura latina clásica de 45 a. C., lo que lo convierte en más de 2000 años.",على عكس الاعتقاد الشائع ، فإن Lorem ipsum ليس مجرد نص عشوائي. لديها جذور في قطعة من الأدب اللاتيني الكلاسيكي من 45 قبل الميلاد ، مما يجعلها أكثر من 2000 عام.
Success,Success,Éxito,نجاح
Alert,Alert,Alerta,يُحذًِر
Paypal Payment,PayPal,Paypal,PayPal
Type your message here...,Type your message here...,Escribe tu mensaje aquí...,اكتب رسالتك هنا...
Home,Home,Hogar,بيت
About,About,Acerca de,عن
Services,Services,Servicios,خدمات
Blogs,Blogs,Blogs,المدونات
Contact,Contact,Contacto,اتصال
"We may use cookies or any other tracking technologies when you visit our website, including any other media form, mobile website, or mobile application related or connected to help customize the Site and improve your experience","We may use cookies or any other tracking technologies when you visit our website, including any other media form, mobile website, or mobile application related or connected to help customize the Site and improve your experience","Podemos usar cookies o cualquier otra tecnología de seguimiento cuando visite nuestro sitio web, incluido cualquier otro formulario de medios, sitio web móvil o aplicaciones móviles relacionadas o conectadas para ayudar a personalizar el sitio y mejorar su experiencia.",قد نستخدم ملفات تعريف الارتباط أو أي تقنيات تتبع أخرى عند زيارة موقعنا على الويب ، بما في ذلك أي نموذج وسائط آخر أو موقع ويب للهاتف المحمول أو تطبيقات الهاتف المحمول أو متصل بالمساعدة في تخصيص الموقع وتحسين تجربتك
Login Information,Login Information,Información Entrar,معلومات تسجيل الدخول
Login Now,Login Now,Inicia sesión ahora,تسجيل الدخول الآن
Register Information,Register Information,Registrar información,تسجيل المعلومات
Please input your details and register to your account to get access to your dashboard.,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su tablero.,يرجى إدخال التفاصيل الخاصة بك والتسجيل في حسابك للوصول إلى لوحة القيادة الخاصة بك.
Register Now,Register Now,Regístrate ahora,سجل الان
Already Have An Account?,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب؟
Email,Email,Correo electrónico,بريد إلكتروني
Enter your email and we'll send you a otp to reset your password.,Enter your email and we'll send you a otp to reset your password.,Ingrese su correo electrónico y le enviaremos un OTP para restablecer su contraseña.,أدخل بريدك الإلكتروني وسنرسل لك OTP لإعادة تعيين كلمة المرور الخاصة بك.
Send OTP,Send OTP,Enviar OTP,إرسال OTP
Please enter the code,Please enter the code,Ingrese el código,الرجاء إدخال الرمز
Please check your email address to get the OTP (One time password).,Please check your email address to get the OTP (One time password).,Verifique su dirección de correo electrónico para obtener el OTP (contraseña única).,يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة مرور لمرة واحدة).
Verify,Verify,Verificar,يؤكد
You can resend the code after,You can resend the code after,Puede reenviar el código después,يمكنك إعادة تقديم الرمز بعد
Enter Password,Enter Password,Introducir la contraseña,أدخل كلمة المرور
Enter Confirm Password,Enter Confirm Password,Ingrese Confirmar contraseña,أدخل تأكيد كلمة المرور
Reset,Reset,Reiniciar,إعادة ضبط
Account Authorization,Account Authorization,Autorización de cuenta,ترخيص الحساب
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,Necesita verificar su cuenta. Consulte su bandeja de entrada de correo para obtener el código de autorización,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الخاص بك للحصول على رمز التفويض
Add Money,Add Money,Agregar dinero,إضافة المال
My Card,My Card,Mi tarjeta,بطاقتي
My Profile,My Profile,Mi perfil,ملفي
Logout,Logout,Cerrar sesión,تسجيل خروج
Get Support,Get Support,Obtener apoyo,احصل على الدعم
Need Help?,Need Help?,¿Necesitas ayuda?,تحتاج مساعدة؟
Please check our docs,Please check our docs,Por favor revise nuestros documentos,يرجى التحقق من مستنداتنا
Welcome Back,Welcome Back,Bienvenido de nuevo,مرحبًا بعودتك
Current Balance,Current Balance,Saldo actual,الرصيد الحالي
Total Add Money,Total Add Money,Total Agregar dinero,إجمالي إضافة المال
Active Tickets,Active Tickets,Boletos activos,تذاكر نشطة
Active Card,Active Card,Tarjeta activa,بطاقة نشطة
Latest Transactions,Latest Transactions,Últimas transacciones,أحدث المعاملات
View More,View More,Ver más,عرض المزيد
Country,Country,País,دولة
Select Country,Select Country,Seleccionar país,حدد الدولة
Enter Phone,Enter Phone,Ingrese el teléfono,أدخل الهاتف
Phone,Phone,Teléfono,هاتف
Address,Address,DIRECCIÓN,عنوان
Update,Update,Actualizar,تحديث
Enter Address,Enter Address,Ingresa la direccion,أدخل العنوان
Zip Code,Zip Code,Código postal,الرمز البريدي
Enter Zip Code,Enter Zip Code,Ingresa tu código postal,أدخل الرمز البريدي
State,State,Estado,ولاية
Enter State,Enter State,Ingrese el estado,إدخال الدولة
Enter City,Enter City,Entrar en la ciudad,أدخل المدينة
City,City,Ciudad,مدينة
Current Password,Current Password,Contraseña actual,كلمة السر الحالية
Enter Current Password,Enter Current Password,Introducir la contraseña actual,إدخل كلمة السر الحالية
Enter Confirmed Password,Enter Confirmed Password,Ingrese la contraseña confirmada,أدخل كلمة المرور المؤكدة
Change,Change,Cambiar,يتغير
Transaction Log,Transaction Log,Registro de transacciones,سجل المعاملات
Transactions,Transactions,Actas,المعاملات
Virtual Card,Virtual Card,Tarjeta virtual,بطاقة افتراضية
Create A New Card,Create A New Card,Crea una nueva tarjeta,إنشاء بطاقة جديدة
Fund,Fund,Fondo,تمويل
Withdrow,Withdrow,Retirar,انسحب
Details,Details,Detalles,تفاصيل
Recent Transaction,Recent Transaction,Transacción reciente,المعاملة الأخيرة
Card Balance,Card Balance,Balance de tarjeta,رصيد البطاقة
Card Amount,Card Amount,Monto de la tarjeta,مبلغ البطاقة
Enter Amount,Enter Amount,Ingresar la cantidad,أدخل المبلغ
Total Charge,Total Charge,Carga total,القيمة الاجمالية
Total Pay,Total Pay,Pago total,إجمالي الأجور
Balance,Balance,Balance,توازن
Confirm,Confirm,Confirmar,يتأكد
Fund Card,Fund Card,Tarjeta de fondo,بطاقة التمويل
Fund Amount,Fund Amount,Monto del fondo,مبلغ الصناديق
Withdraw Amount,Withdraw Amount,Monto de retiro,سحب المبلغ
Amount,Amount,Cantidad,كمية
Will Get,Will Get,Obtendrá,سوف تحصل
Virtual Card Transaction,Virtual Card Transaction,Transacción de tarjeta virtual,معاملة البطاقة الافتراضية
Card Details,Card Details,Detalles de tarjeta,معلومات البطاقة
Card Type,Card Type,Tipo de tarjeta,نوع البطاقة
Card Id,Card Id,Tarjeta de identificacion,بطاقة الهوية
Account Id,Account Id,ID de la cuenta,معرف الحساب
Card Pan,Card Pan,Bandeja,بطاقة عموم
Card Masked,Card Masked,Tarjeta enmascarada,بطاقة ملثمة
Cvv,Cvv,CVV,CVV
Expiration,Expiration,Vencimiento,انتهاء الصلاحية
Status,Status,Estado,حالة
Support Tickets,Support Tickets,Boletos de apoyo,تذاكر الدعم الفني
Subject,Subject,Sujeto,موضوع
Ticket ID,Ticket ID,Identificación de entradas,معرف التذاكر
Payment Gateway,Payment Gateway,Pasarela,بوابة الدفع
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والرسوم
Conversion Amount,Conversion Amount,Cantidad de conversión,مبلغ التحويل
Total Payable Amount,Total Payable Amount,Monto total por pagar,إجمالي المبلغ المستحق
Name on Card,Name on Card,Nombre en la tarjeta,الاسم على البطاقة
Expiration Date,Expiration Date,Fecha de caducidad,تاريخ انتهاء الصلاحية
CVC Code,CVC Code,código CVC,CVC مدونة
Setup Card Api,Setup Card Api,API de tarjeta de configuración,API بطاقة الإعداد
Add Money Logs,Add Money Logs,Agregar registros de dinero,أضف سجلات الأموال
Email Unverified,Email Unverified,Correo electrónico no verificado,البريد الإلكتروني غير التحقق
All Users,All Users,Todos los usuarios,جميع المستخدمين
Email To Users,Email To Users,Correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين
Banned Users,Banned Users,Usuarios prohibidos,المستخدمين المحظورون
Add Money Balance,Add Money Balance,Agregar saldo de dinero,أضف رصيد الأموال
My Flutterwave Balance,My Flutterwave Balance,Mi equilibrio de Flutterwave,توازن الرفرفة الخاص بي
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين
Pending Add Money,Pending Add Money,Pendiente agregar dinero,معلقة إضافة المال
Total User,Total User,Usuario total,إجمالي المستخدم
Happy User,Happy User,Feliz usuario,مستخدم سعيد
Service,Service,Servicio,خدمة
No Virtual Card Created!,No Virtual Card Created!,¡No se creó una tarjeta virtual!,لا توجد بطاقة افتراضية تم إنشاؤها!
Announcement,Announcement,Anuncio,إعلان
Transfer Money Preview,Transfer Money Preview,Vista previa de transferencia de dinero,تحويل أموال معاينة
Available Balance,Available Balance,Saldo disponible,الرصيد المتوفر
Withdraw Money,Withdraw Money,Retirar dinero,سحب المال
Withdraw Money Preview,Withdraw Money Preview,Retirar la vista previa del dinero,سحب معاينة المال
KYC Information,KYC Information,Información de KYC,معلومات KYC
Your KYC information is verified,Your KYC information is verified,Su información de KYC está verificada,تم التحقق من معلومات KYC الخاصة بك
How can we help you,How can we help you,Como podemos ayudarte,كيف يمكننا مساعدتك
Transfer Money Log,Transfer Money Log,Transferir registro de dinero,تحويل سجل الأموال
Add New,Add New,Agregar nuevo,اضف جديد
Your KYC information is rejected.,Your KYC information is rejected.,Su información de KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información de KYC con datos válidos.,يرجى إرسال معلومات KYC الخاصة بك مع بيانات صالحة.
KYC Verification,KYC Verification,Verificación de KYC,التحقق من KYC
Read More,Read More,Leer más,اقرأ أكثر
Categories,Categories,Categorías,فئات
Recent Posts,Recent Posts,Mensajes recientes,المشاركات الاخيرة
app Name,Stripcard,Panecilla,البطاقات
skip,Skip,Saltar,يتخطى
limit,Limit,Límite,حد
sign Out Alert,Sign Out Alert,Alerta de cierre de registro,سجل في حالة تأهب
do You Want,Do you Want to Sign Out from this Device?,¿Quieres cerrar sesión en este dispositivo?,هل تريد تسجيل الخروج من هذا الجهاز؟
privacy And Policy,Privacy & Policy,Política de privacidad,سياسة الخصوصية
on Board Title1,Create Unlimited Virtual Cards for Unlimited Usage,Crear tarjetas virtuales ilimitadas para un uso ilimitado,إنشاء بطاقات افتراضية غير محدودة للاستخدام غير المحدود
signin Information,Log in and Stay Connected,Inicie sesión y manténgase conectado,تسجيل الدخول والبقاء على اتصال
sign In Information Subtitle,"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.","Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy y manténgase conectado con sus finanzas, en cualquier momento y en cualquier lugar.",تضمن عملية تسجيل الدخول الآمنة لدينا سرية معلوماتك. قم بتسجيل الدخول اليوم والبقاء على اتصال بأموالك ، في أي وقت وفي أي مكان.
xxx,xxx xxxx xxx,xxx xxxx xxx,xxx xxxx xxx
phone Number,Phone Number,Número de teléfono,رقم التليفون
forgot Password,Reset Your Forgotten Password,Restablece tu contraseña olvidada,أعد تعيين كلمة المرور المنسية
rich Signin,Sign In,Iniciar sesión,تسجيل الدخول
rich Sign Up,Sign Up,Inscribirse,اشتراك
have Account,Don’t Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟
please Enter Your Register,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer de forma segura su contraseña.,تحكم في حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. توجهك صفحة استرداد كلمة المرور الخاصة بنا من خلال الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.
forgot Passwordd,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر
forget Password,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر
enter Email Address,Enter Email Address,Introducir la dirección de correo electrónico,أدخل عنوان البريد الالكتروني
please Check Terms,Please check Terms & Privacy Policy,Verifique los términos y la política de privacidad,يرجى التحقق من الشروط وسياسة الخصوصية
o TP Verification,Please enter the code,Ingrese el código,الرجاء إدخال الرمز
enter The OTP Code Send To,We sent a 6-digit code to your email,Enviamos un código de 6 dígitos a su correo electrónico,أرسلنا رمز مكون من 6 أرقام إلى بريدك الإلكتروني
resend,Resend,Reenviar,إعادة إرسال
sign Up Information,Register for an Account Today,Regístrese para una cuenta hoy,سجل للحصول على حساب اليوم
sign Up Details,"Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs. Our registration page makes it easy to create your account, providing a seamless and user-friendly experience.","Convierta en parte de nuestra comunidad registrándose para una cuenta hoy. Disfrute de una variedad de beneficios y características diseñadas para satisfacer sus necesidades. Nuestra página de registro facilita la creación de su cuenta, proporcionando una experiencia perfecta y fácil de usar.",كن جزءًا من مجتمعنا من خلال التسجيل لحساب اليوم. استمتع بمجموعة من الفوائد والميزات المصممة لتلبية احتياجاتك. تجعل صفحة التسجيل الخاصة بنا من السهل إنشاء حسابك ، مما يوفر تجربة سلسة وسهلة الاستخدام.
agreed With,with Terms Of Use & Privacy Policy,con términos de uso y política de privacidad,مع شروط الاستخدام وسياسة الخصوصية
already Have An Account,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب؟
agree,I have agreed,He acordado,لقد وافقت
enter Name,Enter Name,Ingrese su nombre,أدخل الاسم
image Path Required,Image path is required,Se requiere ruta de imagen,مسار الصورة مطلوب
your Account Have Been Created,"Your account has been create Successfully, Welcome to stripcard.","Su cuenta ha sido creada con éxito, bienvenido a Stripcard.",تم إنشاء حسابك بنجاح ، مرحبًا بك في StripCard.
view All,View All,Ver todo,عرض الكل
tentwentytwo,10/22,22/10,10/22
expiry Date,Expiry Date,Fecha de caducidad,تاريخ الانتهاء
freeze Card,Freeze Card,Tarjeta congelada,بطاقة تجميد
availabe Blance,Availabe Balance,Balance de disponibilidad,توازن التوافر
cvc,CVV / CVC,CVV / CVC,CVV / CVC
proceed,Proceed,Proceder,يتابع
deposit,Deposit,Depósito,إيداع
zero00,0,0,0
deposit Method,Deposit Method,Método de depósito,طريقة الإيداع
entered Amount,Entered Amount,Cantidad ingresada,تم إدخال المبلغ
enter Select City,Enter City,Entrar en la ciudad,أدخل المدينة
enter First Name,Enter First Name,Ingrese el nombre,أدخل الاسم الأول
enter Last Name,Enter Last Name,Introduzca el apellido,إدخال اسم آخر
select City,City,Ciudad,مدينة
enter,Enter,Ingresar,يدخل
enter Old Password,Enter Old Password,Ingrese la contraseña antigua,أدخل كلمة المرور القديمة
enter New Password,Enter New Password,Ingrese nueva clave,أدخل كلمة مرور جديدة
help Center,Help Center,Centro de ayuda,مركز المساعدة
reset Password Details,Reset your password to get back access your dashboard again.,Restablezca su contraseña para volver a acceder a su tablero nuevamente.,أعد تعيين كلمة المرور الخاصة بك للحصول على العودة إلى لوحة القيادة مرة أخرى.
your Password Has Been,"Your password has been reset Successfully, Sign in again now.","Su contraseña se ha restablecido correctamente, inicie sesión nuevamente ahora.",تمت إعادة تعيين كلمة المرور الخاصة بك بنجاح ، وقم بتسجيل الدخول مرة أخرى الآن.
opps,Opss!!,OPSS !!,OPSS !!
kyc Success Message,Your Kyc has been Submited Successfully,Tu KYC ha sido enviado con éxito,تم وضع KYC الخاص بك بنجاح
notification,Notification,Notificación,إشعار
withdraw,Withdraw,Retirar,ينسحب
preview,Preview,Avance,معاينة
amount Information,Amount Information,Cantidad de información,معلومات المبلغ
transfer Fee,Transfer Fee:,Tarifa de transferencia:,رسوم التحويل:
transfer Fees,Transfer Fee,Tarifa de transferencia,رسوم التحويل
recipient Received,Recipient Received,Receptor recibido,تلقى المستلم
total Payable,Total Payable,Total a pagar,إجمالي الدفع
confirm Send,Confirm Send,Confirmar enviar,تأكيد إرسال
your Money Withdraw Success,Your money has been withdraw Successfully. Thanks for using,Su dinero se ha retirado con éxito. Gracias por usar,لقد تم سحب أموالك بنجاح. شكرا لاستخدام
transaction History,Transaction History,Historial de transacciones,تاريخ المعاملة
current Amount,Current Amount,Cantidad actual,القيمة الحالية
card Information,Card Information,Información de la tarjeta,معلومات البطاقة
yes,Yes,Sí,نعم
no,no,No,لا
your Money Added Succes,Your money has been deposit Successfully. Thanks for using,Su dinero se ha depositado con éxito. Gracias por usar,لقد تم إيداع أموالك بنجاح. شكرا لاستخدام
your Card Success,"Your card has been create Successfully, Thanks for using .","Su tarjeta se ha creado con éxito, gracias por usar.",لقد تم إنشاء بطاقتك بنجاح ، شكرًا لاستخدامها.
add Money Successfully,"Your fund has been add Successfully,Thanks for using","Su fondo ha sido agregado con éxito, gracias por usar",تمت إضافة صندوقك بنجاح ، شكرًا على استخدامه
plz Enter Amount,Please enter amount,Ingrese la cantidad,الرجاء إدخال المبلغ
no Record Found,No Record Found!,¡Ningún record fue encontrado!,لا يوجد سجلات!
pending,Pending,Pendiente,قيد الانتظار
verified,Verified,Verificado,تم التحقق
total Fee,Total Fee,Costo total,مجموع الرسوم
you Don Not Buy Card,"You didnt purchase any card yet, Please purchase a new card","Aún no compró ninguna tarjeta, compre una nueva tarjeta.",لم تشتري أي بطاقة بعد ، يرجى شراء بطاقة جديدة
currency,Currency,Divisa,عملة
brand,Brand,Marca,ماركة
remove Default,Remove Default,Eliminar predeterminado,إزالة الافتراضي
virtual,Virtual Card,Tarjeta virtual,بطاقة افتراضية
reveal Details,Reveal Details,Revelar detalles,الكشف عن التفاصيل
you Can Use Virtual Card Instantly,You can use virtual cards instantly.,Puedes usar tarjetas virtuales al instante.,يمكنك استخدام البطاقات الافتراضية على الفور.
money Transfer,Money Transfer,Transferencia de dinero,تحويل المال
please Fill The Amount,Please fill the amount,Por favor llene la cantidad,يرجى ملء المبلغ
please Follow The Limit,Please! Follow the Limit.,¡Por favor! Sigue el límite.,لو سمحت! اتبع الحد.
receiver Email,Receiver Email,Correo electrónico del receptor,البريد الإلكتروني المتلقي
screenshot,Screenshot,Captura de pantalla,لقطة شاشة
enter Receiver Email Address,Enter Receiver Email Address,Ingrese la dirección de correo electrónico del receptor,أدخل عنوان البريد الإلكتروني للمستقبل
transfer Success Text,"Your money has been transfer Successfully, Thanks for using StripCard.","Su dinero ha sido transferido con éxito, gracias por usar StripCard.",تم تحويل أموالك بنجاح ، شكرًا لاستخدام البطاقة.
success Snack,Success,Éxito,نجاح
dismiss,Dismiss,Despedir,رفض
transfer Money,Transfer Money,Transferir dinero,تحويل أموال
add Subtract Balance,Add Subtract Balance,Agregar balance de restos,أضف توازن طرح
visa,VISA,VISA,تأشيرة
my Wallet,My Wallet,Mi billetera,محفظتى
evidence Note,Evidence Note,Nota de evidencia,ملاحظة الأدلة
razorpay Payment,Razorpay Payment,Pago de Razorpay,دفعة Razorpay
flutterwave Payment,Flutterwave Payment,Pago de FlutterWave,مدفوعات الرفرفة
sslcommerz Payment,Sslcommerz Payment,Pago de sslcommerz,دفع SSLCommerz